question_id,p_at_1,p_at_5,rr,ap
1894,1.000,0.400,1.000,0.610
1895,1.000,0.400,1.000,1.000
1896,0.000,0.200,0.000,0.292
1897,0.000,0.000,0.000,0.125
1898,1.000,0.400,1.000,0.653
1899,1.000,0.800,1.000,0.932
1900,1.000,0.800,1.000,0.887
1903,0.000,0.600,0.000,0.604
1904,0.000,0.200,0.000,0.268
1906,0.000,0.000,0.000,0.143
1908,1.000,0.600,1.000,0.850
1909,1.000,0.600,1.000,0.867
1910,1.000,0.800,1.000,0.732
1911,0.000,0.200,0.000,0.268
1912,0.000,0.400,0.000,0.634
1914,1.000,0.800,1.000,0.877
1916,1.000,0.200,1.000,0.521
1918,0.000,0.000,0.000,0.167
1919,0.000,0.000,0.000,0.000
1920,0.000,0.600,0.000,0.639
1921,0.000,0.200,0.000,0.250
1922,0.000,0.000,0.000,0.000
1924,0.000,0.000,0.000,0.000
1925,0.000,0.000,0.000,0.163
1926,0.000,0.200,0.000,0.200
1927,0.000,0.400,0.000,0.472
1928,0.000,0.400,0.000,0.360
1929,0.000,0.200,0.000,0.200
1930,1.000,0.800,1.000,0.760
1931,0.000,0.200,0.000,0.333
1932,1.000,0.400,1.000,1.000
1934,0.000,0.000,0.000,0.125
1935,0.000,0.000,0.000,0.208
1936,0.000,0.400,0.000,0.500
1937,0.000,0.000,0.000,0.000
1938,0.000,0.200,0.000,0.225
1939,0.000,0.200,0.000,0.319
1941,0.000,0.200,0.000,0.310
1942,1.000,0.800,1.000,1.000
1943,1.000,0.600,1.000,0.739
1944,1.000,0.200,1.000,0.600
1945,1.000,1.000,1.000,1.000
1946,0.000,0.400,0.000,0.361
1947,1.000,1.000,1.000,0.976
1948,0.000,0.000,0.000,0.000
1949,0.000,0.000,0.000,0.214
1950,0.000,0.200,0.000,0.349
1951,0.000,0.000,0.000,0.000
1952,0.000,0.000,0.000,0.000
1953,0.000,0.000,0.000,0.213
1954,0.000,0.200,0.000,0.200
1956,0.000,0.600,0.000,0.525
1958,1.000,1.000,1.000,1.000
1959,0.000,0.000,0.000,0.143
1960,0.000,0.000,0.000,0.000
1961,0.000,0.200,0.000,0.321
1962,0.000,0.200,0.000,0.183
1965,0.000,0.000,0.000,0.000
1966,0.000,0.000,0.000,0.000
1967,1.000,0.800,1.000,0.734
1968,0.000,0.000,0.000,0.183
1969,0.000,0.400,0.000,0.504
1970,0.000,0.200,0.000,0.338
1971,0.000,0.000,0.000,0.225
1973,0.000,0.000,0.000,0.143
1974,1.000,1.000,1.000,1.000
1975,0.000,0.200,0.000,0.500
1976,0.000,0.400,0.000,0.403
1977,0.000,0.000,0.000,0.000
1978,0.000,0.000,0.000,0.000
1979,0.000,0.000,0.000,0.000
1980,0.000,0.600,0.000,0.614
1981,0.000,0.200,0.000,0.399
1982,0.000,0.000,0.000,0.091
1983,0.000,0.600,0.000,0.608
1984,0.000,0.400,0.000,0.443
1985,0.000,0.400,0.000,0.430
1986,0.000,0.000,0.000,0.288
1989,0.000,0.000,0.000,0.000
1990,0.000,0.000,0.000,0.000
1991,0.000,0.000,0.000,0.000
1992,0.000,0.000,0.000,0.125
1993,1.000,1.000,1.000,0.982
1994,1.000,0.200,1.000,1.000
1995,0.000,0.000,0.000,0.167
1996,1.000,0.800,1.000,0.839
1997,1.000,0.400,1.000,0.833
1998,0.000,0.400,0.000,0.467
1999,0.000,0.000,0.000,0.000
2000,0.000,0.400,0.000,0.500
2001,1.000,0.400,1.000,0.722
2003,0.000,0.200,0.000,0.225
2004,1.000,1.000,1.000,1.000
2005,0.000,0.400,0.000,0.489
2007,0.000,0.600,0.000,0.632
2009,0.000,0.000,0.000,0.125
2010,1.000,0.800,1.000,0.774
2011,0.000,0.200,0.000,0.310
2012,0.000,0.000,0.000,0.100
2013,1.000,0.400,1.000,0.555
2015,0.000,0.200,0.000,0.211
2016,0.000,0.600,0.000,0.525
2017,1.000,0.600,1.000,0.817
2018,1.000,1.000,1.000,1.000
2019,0.000,0.000,0.000,0.083
2020,0.000,0.800,0.000,0.645
2021,1.000,0.800,1.000,0.862
2022,0.000,0.600,0.000,0.630
2023,0.000,0.600,0.000,0.664
2025,0.000,0.600,0.000,0.458
2026,0.000,0.000,0.000,0.083
2027,0.000,0.400,0.000,0.500
2028,0.000,0.400,0.000,0.325
2029,1.000,0.400,1.000,0.605
2030,0.000,0.200,0.000,0.225
2031,0.000,0.000,0.000,0.000
2032,0.000,0.200,0.000,0.247
2033,0.000,0.400,0.000,0.415
2035,0.000,0.400,0.000,0.519
2036,0.000,0.000,0.000,0.143
2037,0.000,0.000,0.000,0.000
2038,0.000,0.400,0.000,0.443
2039,0.000,0.000,0.000,0.167
2040,0.000,0.000,0.000,0.143
2043,0.000,0.000,0.000,0.000
2044,1.000,0.800,1.000,0.823
2045,0.000,0.200,0.000,0.337
2047,0.000,0.200,0.000,0.250
2048,1.000,0.600,1.000,0.665
2049,0.000,0.000,0.000,0.000
2050,0.000,0.400,0.000,0.556
2051,0.000,0.000,0.000,0.000
2052,0.000,0.400,0.000,0.413
2053,0.000,0.400,0.000,0.583
2054,0.000,0.200,0.000,0.291
2055,0.000,0.000,0.000,0.000
2056,0.000,0.200,0.000,0.421
2057,0.000,0.400,0.000,0.440
2058,1.000,0.400,1.000,0.833
2059,0.000,0.200,0.000,0.250
2061,0.000,0.400,0.000,0.403
2062,0.000,0.200,0.000,0.200
2063,0.000,0.000,0.000,0.000
2064,0.000,0.200,0.000,0.374
2065,1.000,0.400,1.000,0.768
2066,1.000,0.600,1.000,0.654
2067,0.000,0.000,0.000,0.000
2068,0.000,0.000,0.000,0.000
2069,1.000,0.400,1.000,0.600
2070,0.000,0.000,0.000,0.100
2071,0.000,0.400,0.000,0.486
2072,0.000,0.600,0.000,0.526
2073,0.000,0.600,0.000,0.594
2074,1.000,0.800,1.000,0.758
2075,0.000,0.000,0.000,0.141
2076,0.000,0.000,0.000,0.239
2077,0.000,0.000,0.000,0.125
2078,0.000,0.000,0.000,0.000
2079,0.000,0.000,0.000,0.000
2080,0.000,0.000,0.000,0.202
2081,0.000,0.000,0.000,0.000
2083,1.000,0.400,1.000,0.700
2084,0.000,0.000,0.000,0.143
2085,0.000,0.000,0.000,0.000
2086,0.000,0.000,0.000,0.000
2087,0.000,0.200,0.000,0.365
2088,0.000,0.200,0.000,0.408
2089,1.000,0.800,1.000,0.827
2090,0.000,0.600,0.000,0.608
2091,1.000,1.000,1.000,0.917
2092,0.000,0.400,0.000,0.458
2093,0.000,0.200,0.000,0.200
2094,0.000,0.000,0.000,0.125
2098,0.000,0.000,0.000,0.100
2099,0.000,0.200,0.000,0.339
2100,0.000,0.000,0.000,0.167
2101,0.000,0.000,0.000,0.100
2102,1.000,0.600,1.000,0.733
2103,0.000,0.200,0.000,0.236
2104,0.000,0.000,0.000,0.167
2105,1.000,0.800,1.000,0.830
2106,1.000,0.800,1.000,0.746
2107,0.000,0.200,0.000,0.258
2109,1.000,0.200,1.000,1.000
2110,0.000,0.200,0.000,0.200
2111,0.000,0.200,0.000,0.200
2115,1.000,0.200,1.000,1.000
2116,0.000,0.000,0.000,0.000
2117,0.000,0.000,0.000,0.113
2118,0.000,0.000,0.000,0.000
2119,0.000,0.000,0.000,0.318
2120,0.000,0.000,0.000,0.083
2121,0.000,0.200,0.000,0.200
2122,0.000,0.200,0.000,0.500
2123,0.000,0.000,0.000,0.143
2124,0.000,0.000,0.000,0.000
2126,0.000,0.000,0.000,0.000
2127,0.000,0.400,0.000,0.476
2128,0.000,0.200,0.000,0.350
2129,1.000,0.800,1.000,0.734
2131,0.000,0.600,0.000,0.546
2133,0.000,0.800,0.000,0.730
2134,0.000,0.000,0.000,0.125
2135,0.000,0.000,0.000,0.000
2136,0.000,0.000,0.000,0.316
2139,0.000,0.200,0.000,0.337
2140,0.000,0.400,0.000,0.560
2141,0.000,0.000,0.000,0.250
2142,0.000,0.000,0.000,0.000
2143,0.000,0.200,0.000,0.306
2144,0.000,0.000,0.000,0.000
2145,0.000,0.400,0.000,0.450
2149,1.000,0.800,1.000,0.837
2151,0.000,0.000,0.000,0.213
2152,0.000,0.400,0.000,0.470
2153,0.000,0.600,0.000,0.533
2154,0.000,0.000,0.000,0.111
2155,0.000,0.200,0.000,0.216
2156,0.000,0.000,0.000,0.265
2157,0.000,0.000,0.000,0.000
2159,0.000,0.000,0.000,0.000
2160,0.000,0.600,0.000,0.622
2161,0.000,0.000,0.000,0.000
2162,0.000,0.000,0.000,0.000
2164,0.000,0.000,0.000,0.000
2165,1.000,0.400,1.000,0.601
2166,0.000,0.000,0.000,0.000
2167,0.000,0.000,0.000,0.000
2168,0.000,0.400,0.000,0.421
2169,1.000,0.600,1.000,0.644
2170,0.000,0.000,0.000,0.000
2171,0.000,0.000,0.000,0.143
2173,0.000,0.000,0.000,0.226
2175,1.000,1.000,1.000,0.986
2176,0.000,0.000,0.000,0.000
2178,0.000,0.000,0.000,0.111
2179,0.000,0.000,0.000,0.177
2181,0.000,0.000,0.000,0.167
2182,1.000,0.800,1.000,0.886
2184,1.000,0.800,1.000,0.764
2185,0.000,0.000,0.000,0.000
2186,0.000,0.200,0.000,0.200
2187,0.000,0.000,0.000,0.125
2188,0.000,0.200,0.000,0.399
2189,0.000,0.000,0.000,0.000
2190,1.000,0.600,1.000,0.764
2191,1.000,0.600,1.000,0.633
2192,0.000,0.000,0.000,0.354
2193,1.000,1.000,1.000,0.970
2194,0.000,0.000,0.000,0.000
2195,1.000,1.000,1.000,0.943
2196,1.000,0.600,1.000,0.624
2197,1.000,1.000,1.000,0.929
2198,0.000,0.400,0.000,0.500
2199,0.000,0.000,0.000,0.000
2200,0.000,0.000,0.000,0.000
2202,0.000,0.000,0.000,0.000
2204,0.000,0.000,0.000,0.000
2205,0.000,0.200,0.000,0.268
2206,0.000,0.000,0.000,0.000
2209,0.000,0.000,0.000,0.000
2210,1.000,0.600,1.000,0.817
2211,0.000,0.000,0.000,0.091
2212,0.000,0.000,0.000,0.000
2213,0.000,0.000,0.000,0.000
2214,0.000,0.000,0.000,0.000
2215,0.000,0.400,0.000,0.421
2216,0.000,0.000,0.000,0.091
2217,0.000,0.000,0.000,0.183
2218,0.000,0.200,0.000,0.304
2219,0.000,0.600,0.000,0.478
2220,0.000,0.000,0.000,0.000
2223,0.000,0.000,0.000,0.000
2225,0.000,0.400,0.000,0.502
2226,0.000,0.200,0.000,0.415
2227,0.000,0.600,0.000,0.538
2228,1.000,0.400,1.000,0.550
2230,1.000,1.000,1.000,1.000
2231,1.000,0.800,1.000,0.849
2232,1.000,0.400,1.000,0.633
2233,0.000,0.200,0.000,0.225
2235,1.000,0.200,1.000,0.538
2236,1.000,0.200,1.000,0.507
2237,0.000,0.200,0.000,0.365
2238,0.000,0.000,0.000,0.000
2239,0.000,0.600,0.000,0.565
2240,1.000,0.600,1.000,0.659
2241,0.000,0.200,0.000,0.345
2242,0.000,0.600,0.000,0.641
2244,0.000,0.000,0.000,0.167
2245,0.000,0.000,0.000,0.000
2246,1.000,0.600,1.000,0.715
2247,0.000,0.200,0.000,0.236
2248,0.000,0.200,0.000,0.337
2249,1.000,0.800,1.000,0.871
2251,0.000,0.400,0.000,0.583
2252,0.000,0.000,0.000,0.143
2254,0.000,0.200,0.000,0.500
2255,0.000,0.000,0.000,0.000
2257,0.000,0.600,0.000,0.562
2259,0.000,0.000,0.000,0.000
2260,0.000,0.200,0.000,0.225
2261,1.000,0.400,1.000,0.625
2262,0.000,0.000,0.000,0.000
2263,0.000,0.600,0.000,0.639
2264,0.000,0.400,0.000,0.387
2265,0.000,0.000,0.000,0.143
2266,0.000,0.400,0.000,0.500
2268,0.000,0.200,0.000,0.365
2269,0.000,0.000,0.000,0.091
2270,0.000,0.400,0.000,0.383
2271,0.000,0.000,0.000,0.192
2272,1.000,0.400,1.000,1.000
2273,0.000,0.000,0.000,0.167
2275,0.000,0.000,0.000,0.000
2276,0.000,0.000,0.000,0.000
2277,1.000,0.800,1.000,0.755
2278,0.000,0.600,0.000,0.585
2279,0.000,0.000,0.000,0.000
2280,0.000,0.600,0.000,0.543
2281,0.000,0.000,0.000,0.208
2282,1.000,0.800,1.000,0.876
2283,0.000,0.200,0.000,0.250
2284,0.000,0.000,0.000,0.143
2285,0.000,0.000,0.000,0.242
2286,0.000,0.000,0.000,0.143
2287,0.000,0.400,0.000,0.500
2288,0.000,0.200,0.000,0.269
2289,1.000,1.000,1.000,1.000
2290,0.000,0.000,0.000,0.125
2292,0.000,0.000,0.000,0.000
2293,1.000,0.800,1.000,0.877
2294,1.000,0.400,1.000,0.580
2295,1.000,0.200,1.000,0.667
2296,0.000,0.600,0.000,0.449
2297,0.000,0.000,0.000,0.143
2298,0.000,0.000,0.000,0.000
2299,0.000,0.600,0.000,0.520
2300,1.000,0.600,1.000,0.764
2301,1.000,1.000,1.000,0.944
2302,1.000,0.400,1.000,0.792
2303,0.000,0.200,0.000,0.362
2305,0.000,0.000,0.000,0.083
2306,0.000,0.200,0.000,0.333
2307,0.000,0.600,0.000,0.487
2309,0.000,0.000,0.000,0.091
2310,0.000,0.400,0.000,0.467
2311,0.000,0.000,0.000,0.000
2312,1.000,0.200,1.000,0.667
2313,0.000,0.000,0.000,0.143
2315,1.000,1.000,1.000,1.000
2316,0.000,0.400,0.000,0.502
2317,0.000,0.200,0.000,0.500
2318,0.000,0.000,0.000,0.100
2319,0.000,0.600,0.000,0.622
2320,0.000,0.000,0.000,0.143
2323,0.000,0.000,0.000,0.000
2325,0.000,0.000,0.000,0.000
2326,0.000,0.000,0.000,0.251
2328,0.000,0.200,0.000,0.267
2329,0.000,0.000,0.000,0.111
2330,0.000,0.400,0.000,0.418
2331,0.000,0.000,0.000,0.121
2333,0.000,0.000,0.000,0.000
2334,1.000,0.600,1.000,0.733
2335,0.000,0.400,0.000,0.458
2336,0.000,0.200,0.000,0.287
2337,1.000,0.200,1.000,0.611
2338,0.000,0.000,0.000,0.143
2339,0.000,0.000,0.000,0.110
2340,0.000,0.600,0.000,0.660
2341,0.000,0.000,0.000,0.100
2342,0.000,0.000,0.000,0.143
2343,0.000,0.000,0.000,0.000
2344,0.000,0.200,0.000,0.250
2347,0.000,0.800,0.000,0.654
2350,1.000,0.200,1.000,0.487
2351,0.000,0.400,0.000,0.583
2352,1.000,0.800,1.000,0.766
2353,0.000,0.200,0.000,0.303
2354,0.000,0.200,0.000,0.308
2355,0.000,0.400,0.000,0.458
2356,0.000,0.200,0.000,0.333
2357,0.000,0.600,0.000,0.608
2358,0.000,0.000,0.000,0.000
2359,0.000,0.800,0.000,0.713
2360,0.000,0.000,0.000,0.083
2361,0.000,0.000,0.000,0.000
2362,0.000,0.200,0.000,0.288
2364,0.000,0.000,0.000,0.242
2365,0.000,0.000,0.000,0.000
2367,0.000,0.200,0.000,0.328
2368,0.000,0.000,0.000,0.000
2370,0.000,0.000,0.000,0.083
2371,1.000,1.000,1.000,1.000
2374,0.000,0.000,0.000,0.100
2375,1.000,0.400,1.000,0.550
2376,0.000,0.000,0.000,0.183
2377,1.000,0.200,1.000,0.477
2378,1.000,0.400,1.000,0.582
2379,0.000,0.000,0.000,0.100
2380,0.000,0.200,0.000,0.225
2381,1.000,0.400,1.000,0.667
2382,0.000,0.000,0.000,0.077
2383,0.000,0.000,0.000,0.167
2384,1.000,0.200,1.000,0.587
2386,0.000,0.200,0.000,0.417
2387,0.000,0.600,0.000,0.521
2388,0.000,0.200,0.000,0.250
2390,0.000,0.000,0.000,0.091
2391,0.000,0.600,0.000,0.483
2392,1.000,0.800,1.000,0.917
2393,0.000,0.000,0.000,0.125
